
2024-05-03 08:53:38 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.41v, 1TxC, 3SxC, 00S No GPS Lock: Time 2000-00-00 13:53:37,    0M, 108973Pa
2024-05-03 08:54:33 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.46v, 1TxC, 4SxC, 00S No GPS Lock: Time 2024-05-03 13:54:30,    0M, 111223Pa
2024-05-03 08:55:23 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.47v, 1TxC, 5SxC, 00S No GPS Lock: Time 2024-05-03 13:55:22,    0M, 113135Pa
2024-05-03 08:56:15 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.42v, 1TxC, 6SxC, 00S No GPS Lock: Time 2024-05-03 13:56:14,    0M, 114642Pa
2024-05-03 08:56:51 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.36v, 1TxC, 7SxC, 06S Normal West Community High School STEM
2024-05-03 08:56:54 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/135651h4031.26N/08901.34WO000/000/A=000791 001TxC  24.00C 1156.18hPa  4.64V 06S   0.00C      0.0Pa  0.00% !wTF!
2024-05-03 08:57:46 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/135652h4031.26N/08901.34WO000/000/A=000791 002TxC  24.70C 1169.97hPa  4.56V 06S   0.00C      0.0Pa  0.00% !wTF! !wRG!
2024-05-03 08:58:38 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/135746h4031.26N/08901.34WO000/000/A=000814 003TxC  25.30C 1183.52hPa  4.60V 06S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 08:59:31 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/135838h4031.26N/08901.34WO000/000/A=000801 004TxC  25.80C 1194.80hPa  4.54V 06S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:00:23 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/135931h4031.26N/08901.34WO000/000/A=000814 005TxC  26.40C 1205.11hPa  4.56V 07S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:01:16 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/140023h4031.26N/08901.34WO000/000/A=000809 006TxC  26.90C 1216.43hPa  4.65V 07S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:03:09 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.40v, 7TxC, 8SxC, 07S EN50 Normal West Community High School STEM
2024-05-03 09:03:31 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/140116h4031.26N/08901.34WO000/000/A=000820 007TxC  29.00C 1261.32hPa  4.60V 07S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:04:23 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/140331h4031.26N/08901.34WO000/000/A=000835 008TxC  29.10C 1242.94hPa  4.60V 08S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:05:16 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/140423h4031.14N/08901.33WO173/011/A=001473 009TxC  29.10C 1216.17hPa  4.57V 08S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:06:08 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/140516h4030.93N/08901.30WO156/013/A=002311 010TxC  29.30C 1197.02hPa  4.57V 08S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:07:01 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/140608h4030.80N/08901.30WO198/002/A=003039 011TxC  29.40C 1175.21hPa  4.65V 08S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:07:53 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/140659h4030.72N/08901.34WO331/001/A=003873 012TxC  29.60C 1154.25hPa  4.56V 08S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:09:38 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/140844h4030.68N/08901.21WO118/008/A=005452 014TxC  30.00C 1115.75hPa  4.48V 08S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:10:30 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/140936h4030.50N/08901.09WO154/018/A=006219 015TxC  30.20C 1094.90hPa  4.57V 08S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:13:15 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:>Bat 4.39v, 17TxC, 9SxC, 08S EN50 Normal West Community High School STEM
2024-05-03 09:13:38 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/141121h4029.95N/08900.83WO162/021/A=007691 017TxC  31.80C 1064.97hPa  4.55V 08S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:14:30 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/141336h4029.30N/08900.49WO154/019/A=009205 018TxC  31.90C 1050.17hPa  4.56V 09S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:15:23 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/141521h4028.73N/08900.16WO156/023/A=010101 019TxC  32.00C 1037.73hPa  4.60V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:16:16 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/141522h4028.72N/08900.16WO167/019/A=010109 020TxC  32.00C 1017.21hPa  4.58V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:18:01 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/141707h4028.28N/08859.72WO140/018/A=011629 022TxC  32.10C  974.21hPa  4.57V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:18:53 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/141759h4028.17N/08859.46WO127/012/A=012481 023TxC  32.20C  955.96hPa  4.57V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:19:49 CDT: KD9SAT-12>APLIGA,N9ULL*,qAR,N9NWI-1:/141852h4028.13N/08859.17WO094/015/A=013207 024TxC  32.30C  937.91hPa  4.51V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:20:39 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/141944h4028.05N/08858.88WO116/013/A=013960 025TxC  32.40C  919.59hPa  4.58V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:21:31 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/142037h4028.03N/08858.50WO089/017/A=014738 026TxC  32.50C  902.35hPa  4.64V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:23:24 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:>Bat 4.49v, 27TxC, 10SxC, 10S EN50 Normal West Community High School STEM
2024-05-03 09:23:46 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/142129h4028.03N/08858.10WO079/017/A=015464 027TxC  33.30C  874.03hPa  4.47V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:24:38 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/142344h4028.14N/08857.24WO056/019/A=017579 028TxC  33.10C  845.65hPa  4.56V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:25:31 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/142437h4028.22N/08856.90WO074/020/A=018486 029TxC  33.00C  821.23hPa  4.54V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:26:24 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/142529h4028.29N/08856.49WO086/015/A=019304 030TxC  32.80C  796.19hPa  4.59V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:27:16 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/142622h4028.41N/08856.15WO069/016/A=020312 031TxC  32.70C  771.17hPa  4.62V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:28:09 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/142714h4028.53N/08855.68WO089/025/A=021284 032TxC  32.60C  753.02hPa  4.48V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:29:01 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KS9A-10:/142807h4028.65N/08855.19WO066/028/A=021837 033TxC  32.60C  739.63hPa  4.44V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:30:46 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/142952h4028.99N/08854.14WO060/030/A=022866 035TxC  32.50C  711.45hPa  4.37V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:31:39 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,WB9EOC-10:/143044h4029.16N/08853.62WO066/024/A=023431 036TxC  32.50C  695.43hPa  4.52V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:33:31 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:>Bat 4.31v, 37TxC, 11SxC, 11S EN50 Normal West Community High School STEM
2024-05-03 09:33:53 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/143137h4029.37N/08853.04WO061/039/A=024164 037TxC  33.10C  674.64hPa  4.43V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:34:46 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/143352h4030.10N/08851.44WO049/047/A=026099 038TxC  32.80C  654.79hPa  4.56V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:35:38 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-3:/143444h4030.49N/08850.75WO047/046/A=026558 039TxC  32.50C  633.78hPa  4.43V 09S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:36:31 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/143537h4030.85N/08849.99WO060/043/A=027228 040TxC  32.30C  616.09hPa  4.41V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:37:23 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/143629h4031.25N/08849.28WO055/054/A=027840 041TxC  32.10C  593.91hPa  4.40V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:38:16 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,NA9X-10:/143722h4031.66N/08848.52WO060/060/A=028877 042TxC  31.90C  573.39hPa  4.46V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:43:09 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/144052h4033.50N/08844.68WO054/056/A=032739 046TxC  31.40C  492.09hPa  4.51V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:48:03 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KX9A-1:/144800h4037.13N/08835.29WO065/089/A=038759 050TxC  29.60C  392.66hPa  4.48V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:52:57 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/145040h4038.14N/08831.46WO066/049/A=040850 054TxC  28.40C  322.92hPa  4.48V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:54:50 CDT: KD9SAT-12>APLIGA,W9AZ-1,WIDE1*,qAR,KS9A-10:>Bat 4.31v, 55TxC, 15SxC, 10S EN50 Normal West Community High School STEM
2024-05-03 09:56:58 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/145655h4040.65N/08825.56WO050/044/A=044928 057TxC  27.00C  267.80hPa  4.50V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:57:51 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-2:/145748h4041.21N/08824.84WO044/057/A=045475 058TxC  26.60C  253.36hPa  4.35V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 09:59:37 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KX9A-1:/145934h4042.22N/08823.06WO053/042/A=046502 060TxC  26.00C  230.41hPa  4.45V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 10:00:30 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KB9LNS-4:/150027h4042.60N/08822.47WO063/042/A=047247 061TxC  25.70C  219.16hPa  4.60V 09S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 10:02:22 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KX9A-1:>Bat 4.28v, 62TxC, 16SxC, 09S EN50 Normal West Community High School STEM
2024-05-03 10:02:47 CDT: KD9SAT-12>APLIGA,KD9QEN,WIDE1*,qAO,KB9OIV-2:/150028h4042.61N/08822.46WO045/040/A=047264 062TxC  25.90C  212.79hPa  4.68V 09S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 10:04:37 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,NA9X-10:>Bat 4.34v, 63TxC, 17SxC, 09S EN50 Normal West Community High School STEM
2024-05-03 10:05:00 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-2:/150243h4043.36N/08820.35WO073/048/A=048718 063TxC  25.80C  200.92hPa  4.35V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 10:05:53 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KC8RFE-2:/150550h4043.92N/08817.58WO080/035/A=050582 064TxC  25.30C  187.05hPa  4.40V 11S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
2024-05-03 10:06:46 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KX9A-1:/150643h4044.14N/08816.87WO063/038/A=051177 065TxC  24.90C  175.11hPa  4.36V 10S   0.00C      0.0Pa  0.00% !wTF! !wRG! !w??!
